Quarter,Minute,Second,Down,ToGo,YardLine,Outcome
4,4,4,2,10,64,0
4,4,10,1,10,64,0
2,10,51,4,2,98,0
2,11,48,3,1,99,0
2,12,27,2,2,98,0
2,13,6,1,4,96,0
2,13,45,2,7,88,0
2,14,28,1,10,85,0
2,14,54,2,10,51,2
2,15,0,1,10,51,1
3,9,12,4,10,63,0
3,9,15,3,10,63,1
3,9,20,2,10,63,1
3,9,24,1,10,63,1
1,5,0,0,0,85,0
1,5,5,3,7,93,1
1,5,9,2,7,93,1
1,5,12,1,7,93,1
1,8,32,0,0,85,0
1,8,39,2,1,99,1
1,9,24,1,8,92,1
1,10,6,2,10,78,1
1,10,48,1,10,78,0
1,11,22,2,19,51,2
1,11,50,2,10,60,1
4,3,10,0,0,85,0
4,3,13,3,1,99,0
4,3,16,2,1,99,1
4,3,53,1,1,99,0
4,4,5,1,10,60,0
4,4,47,2,1,56,0
4,7,16,0,0,85,0
4,9,15,4,13,60,0
4,9,19,3,13,60,1
4,10,0,2,19,54,1
4,10,42,1,10,63,0
4,13,45,4,1,88,0
4,14,10,3,4,85,1
4,14,45,2,6,83,0
4,15,0,1,10,79,1
3,0,1,1,10,66,1
3,0,47,4,10,54,1
3,0,52,3,10,54,2
3,0,56,2,10,54,2
3,1,7,1,10,54,2
3,4,21,4,12,68,0
3,5,4,3,13,67,0
3,5,36,2,20,60,1
3,6,17,1,10,70,0
3,6,59,2,1,68,0
3,7,39,1,10,59,1
3,8,16,2,6,53,0
3,11,3,4,14,83,0
3,11,7,3,14,83,1
3,11,47,2,10,87,0
3,11,52,1,10,87,1
3,12,30,2,2,79,0
3,13,3,1,10,71,1
3,13,26,3,1,53,0
3,13,46,2,4,50,1
2,0,45,4,1,97,0
2,0,50,3,1,97,1
2,1,16,2,6,92,0
2,1,47,1,10,88,0
2,1,53,1,10,77,0
2,2,0,2,3,60,0
2,2,37,1,10,53,0
2,5,14,0,0,85,0
2,5,17,1,2,98,0
2,5,45,1,10,77,2
2,6,34,3,4,53,0
2,7,10,2,6,51,0
2,10,22,4,6,91,0
2,10,27,3,6,91,1
2,10,31,2,6,91,1
2,11,6,1,10,87,0
2,11,43,1,10,73,0
2,12,21,4,3,61,1
2,13,5,3,3,61,0
2,13,41,2,10,54,1
2,13,49,1,10,54,1
1,1,39,4,5,95,0
1,2,20,3,10,90,1
